Course Title,CRN,Type,Days,Time,Location,Current Enrollment,Instructor
CSCI 6062 Qualitative Research Methods,13399,Lec,R,1435-1725,Studley MONA CAMPBELL BUILDING 2107,2,Escobedo Bravo L.
CSCI 6101 Adv Topics Analysis Algorithms,13400,Lec,"T,R",0835-0955,Carleton TUPPER BLDG 14B02,1,Zeh N.
CSCI 6505 Machine Learning,13401,Lec,"T,R",1435-1555,Studley SIR JAMES DUNN BUILDING 304,14,Trappenberg T.
CSCI 6505 Machine Learning,13402,Lab,M,1305-1425,Studley GOLDBERG COMPUTER SCIENCE BLDG 143,14,Staff
CSCI 6506 Genetic Algorithms & Programng,13403,Lec,"T,R",1005-1125,Studley MONA CAMPBELL BUILDING 1201,1,Heywood M.
CSCI 6509 Adv. Topics in NLP,13404,Lec,"T,R",1435-1555,Studley LSC-PSYCHOLOGY P5260,9,Keselj V.
CSCI 6509 Adv. Topics in NLP,13405,Lab,M,1435-1555,Studley GOLDBERG COMPUTER SCIENCE BLDG 134,7,Staff
CSCI 6509 Adv. Topics in NLP,13406,Lab,M,0835-0955,Studley MONA CAMPBELL BUILDING 1201,2,Staff
CSCI 6609 Ubiquitous Computing,13407,Lec,"T,R",1435-1555,Studley KENNETH C ROWE MANAGEMENT 1014,3,Barrera Machuca M.
CSCI 6609 Ubiquitous Computing,13408,Lab,R,1735-1855,Studley MONA CAMPBELL BUILDING 1201,3,Staff
CSCI 6610 Human Computer InteractionCourse equivalent with,13409,Lec,F,0905-1125,Sexton B BUILDING ADDITION B228,9,Blustein J.
CSCI 6610 Human Computer InteractionCourse equivalent with,13410,Lab,M,1005-1255,Studley KILLAM LIBRARY 2600,9,Staff
CSCI 6615 Augmented and Virtual Reality,13414,Lec,F,1235-1525,Sexton B BUILDING ADDITION B227,1,Barrera Machuca M.
CSCI 6615 Augmented and Virtual Reality,13415,Lab,T,1005-1125,Studley GOLDBERG COMPUTER SCIENCE BLDG 134,1,Staff
